,date,contract,strike_price,op_fair_price,day,close,atr
0,2021-01-04,202101W1,14850.0,142.0,Monday,14874.0,
1,2021-01-05,202101W1,15000.0,213.0,Tuesday,14977.0,
2,2021-01-06,202101W2,14900.0,307.0,Wednesday,14911.0,
3,2021-01-07,202101W2,15200.0,230.0,Thursday,15230.0,
4,2021-01-08,202101W2,15500.0,251.0,Friday,15454.0,
5,2021-01-11,202101W2,15500.0,257.0,Monday,15534.0,
6,2021-01-12,202101W2,15500.0,138.0,Tuesday,15493.0,
7,2021-01-13,202101,15750.0,348.0,Wednesday,15764.0,
8,2021-01-14,202101,15750.0,290.0,Thursday,15729.0,
9,2021-01-15,202101,15650.0,335.5,Friday,15634.0,
10,2021-01-18,202101,15600.0,277.0,Monday,15606.0,
11,2021-01-19,202101,15900.0,81.5,Tuesday,15888.0,
12,2021-01-20,202101W4,15750.0,358.0,Wednesday,15736.0,
13,2021-01-21,202101W4,16150.0,240.0,Thursday,16129.0,
14,2021-01-22,202101W4,16000.0,400.0,Friday,15984.0,277.7857142857143
15,2021-01-25,202101W4,15900.0,228.0,Monday,15912.0,278.30102040816325
16,2021-01-26,202101W4,15650.0,122.5,Tuesday,15626.0,289.6366618075802
17,2021-01-27,202102W1,15650.0,347.0,Wednesday,15660.0,285.3054716784673
18,2021-01-28,202102W1,15400.0,325.0,Thursday,15383.0,290.2836522728625
19,2021-01-29,202102W1,15100.0,372.0,Friday,15075.0,303.54910568194373
20,2021-02-01,202102W1,15350.0,308.0,Monday,15360.0,304.9384552760906
21,2021-02-02,202102W1,15750.0,152.0,Tuesday,15755.0,316.014279899227
22,2021-02-03,202102,15750.0,455.0,Wednesday,15772.0,304.7989741921393
23,2021-02-04,202102,15700.0,374.0,Thursday,15701.0,299.8133331784151
24,2021-02-05,202102,15800.0,335.0,Friday,15804.0,298.61238080852826
25,2021-02-17,202103,16300.0,563.0,Wednesday,16339.0,316.4972107507762
26,2021-02-18,202102W4,16400.0,333.0,Thursday,16380.0,310.89026712572075
27,2021-02-19,202102W4,16300.0,273.0,Friday,16314.0,306.54096233102644
28,2021-02-22,202102W4,16400.0,244.0,Monday,16385.0,302.50232216452457
29,2021-02-23,202102W4,16450.0,277.0,Tuesday,16437.0,300.10929915277285
30,2021-02-24,202103W1,16200.0,356.0,Wednesday,16182.0,300.38720635614624
31,2021-02-25,202103W1,16400.0,312.0,Thursday,16388.0,296.0738344735643
32,2021-02-26,202103W1,15950.0,319.0,Friday,15935.0,313.2114177254526
33,2021-03-02,202103W1,15900.0,167.0,Tuesday,15907.0,320.0534593164917
34,2021-03-03,202103W2,16200.0,368.0,Wednesday,16181.0,319.406783651028
35,2021-03-04,202103W2,15950.0,469.0,Thursday,15925.0,326.94915624738314
36,2021-03-05,202103W2,15850.0,382.0,Friday,15855.0,328.95278794399866
37,2021-03-08,202103W2,15800.0,376.0,Monday,15816.0,328.8847316622845
38,2021-03-09,202103W2,15800.0,258.0,Tuesday,15822.0,322.5358222578356
39,2021-03-10,202103,15900.0,392.0,Wednesday,15883.0,312.2118349537045
40,2021-03-11,202103,16150.0,498.0,Thursday,16174.0,313.5538467427256
41,2021-03-12,202103,16200.0,311.0,Friday,16222.0,300.65714340395954
42,2021-03-15,202103,16200.0,192.0,Monday,16200.0,286.8244903036767
43,2021-03-16,202103,16300.0,160.0,Tuesday,16305.0,276.90845528198554
44,2021-03-17,202103W4,16150.0,275.0,Wednesday,16160.0,270.62927990470087
45,2021-03-18,202103W4,16250.0,248.0,Thursday,16239.0,268.5129027686508
46,2021-03-19,202103W4,16000.0,339.0,Friday,16012.0,269.76198114231863
47,2021-03-22,202103W4,16150.0,173.0,Monday,16140.0,269.27898248929586
48,2021-03-23,202103W4,16100.0,126.0,Tuesday,16120.0,262.47334088291757
49,2021-03-24,202103W5,16000.0,282.0,Wednesday,15983.0,256.6538165341377
50,2021-03-25,202103W5,16050.0,312.0,Thursday,16032.0,254.0356867816993
51,2021-03-26,202103W5,16300.0,322.0,Friday,16288.0,254.5331377258636
52,2021-03-29,202103W5,16400.0,131.0,Monday,16411.0,250.42362788830192
53,2021-03-30,202103W5,16500.0,152.0,Tuesday,16519.0,241.10765446770893
54,2021-03-31,202104W1,16400.0,234.0,Wednesday,16422.0,234.31425057715828
55,2021-04-01,202104W1,16550.0,227.0,Thursday,16551.0,229.36323267878984
56,2021-04-06,202104W1,16750.0,122.0,Tuesday,16731.0,233.623001773162
57,2021-04-07,202104W2,16750.0,243.0,Wednesday,16768.0,225.14993021793615
58,2021-04-08,202104W2,16950.0,321.0,Thursday,16930.0,226.42493520236926
59,2021-04-09,202104W2,16850.0,258.0,Friday,16841.0,221.75172554505716
60,2021-04-12,202104W2,16850.0,181.0,Monday,16834.0,220.5551737204102
61,2021-04-13,202104W2,16800.0,100.5,Tuesday,16795.0,223.80123274038093
62,2021-04-14,202104,16850.0,271.0,Wednesday,16856.0,231.029716116068
63,2021-04-15,202104,17050.0,210.0,Thursday,17071.0,230.3847363934917
64,2021-04-16,202104,17150.0,280.0,Friday,17158.0,226.07154093681373
65,2021-04-19,202104,17250.0,212.5,Monday,17271.0,223.13785944132704
66,2021-04-20,202104,17300.0,112.0,Tuesday,17319.0,215.6280123383751
67,2021-04-21,202104W4,17150.0,295.0,Wednesday,17138.0,216.7260114570626
68,2021-04-22,202104W4,17100.0,171.0,Thursday,17109.0,223.817010638701
69,2021-04-23,202104W4,17250.0,348.0,Friday,17257.0,223.47293845022233
70,2021-04-26,202104W4,17550.0,110.5,Monday,17530.0,227.4391571323493
71,2021-04-27,202104W4,17550.0,174.0,Tuesday,17571.0,219.4792173371815
72,2021-04-28,202105,17500.0,554.0,Wednesday,17533.0,210.65927324166856
73,2021-04-29,202105W1,17550.0,265.0,Thursday,17571.0,207.8264680101208
74,2021-05-03,202105W1,17250.0,137.0,Monday,17253.0,217.62457743796932
75,2021-05-04,202105W1,16950.0,150.0,Tuesday,16933.0,247.86567904954293
76,2021-05-05,202105W2,16750.0,405.0,Wednesday,16769.0,249.01813054600416
77,2021-05-06,202105W2,16950.0,361.0,Thursday,16944.0,258.4454069355753
78,2021-05-07,202105W2,17300.0,189.0,Friday,17287.0,264.55644929731994
79,2021-05-10,202105W2,17250.0,255.0,Monday,17228.0,259.58813149036854
80,2021-05-11,202105W2,16550.0,793.0,Tuesday,16556.0,298.4032649553422
81,2021-05-12,202105,15700.0,58.0,Wednesday,15692.0,386.3030317442463
82,2021-05-13,202105,15550.0,561.0,Thursday,15566.0,404.63852947680016
83,2021-05-14,202105,15750.0,474.0,Friday,15772.0,408.23577737131444
84,2021-05-17,202105,15250.0,907.0,Monday,15263.0,427.3617932733634
85,2021-05-18,202105,16150.0,150.5,Tuesday,16147.0,462.33595089669456
86,2021-05-19,202105W4,16000.0,574.0,Wednesday,16023.0,448.09766868978784
87,2021-05-20,202105W4,16000.0,586.0,Thursday,15981.0,434.590692354803
88,2021-05-21,202105W4,16250.0,478.0,Friday,16257.0,435.2627857580314
89,2021-05-24,202105W4,16300.0,437.0,Monday,16294.0,425.52972963245776
90,2021-05-25,202105W4,16600.0,156.0,Tuesday,16585.0,418.6347489444251
91,2021-05-26,202106W1,16600.0,386.0,Wednesday,16616.0,400.1608383055376
92,2021-05-27,202106W1,16550.0,425.0,Thursday,16534.0,399.93506414085635
93,2021-05-28,202106W1,16850.0,294.0,Friday,16863.0,395.9397024165095
94,2021-05-31,202106W1,17000.0,204.0,Monday,17013.0,384.4440093867588
95,2021-06-01,202106W1,17150.0,117.0,Tuesday,17130.0,366.6265801448475
96,2021-06-02,202106W2,17100.0,372.0,Wednesday,17098.0,353.43896727735836
97,2021-06-03,202106W2,17250.0,316.0,Thursday,17230.0,343.5504696146899
98,2021-06-04,202106W2,17100.0,358.0,Friday,17100.0,333.6540074993549
99,2021-06-07,202106W2,17100.0,377.0,Monday,17090.0,346.25014982082956
100,2021-06-08,202106W2,17100.0,226.0,Tuesday,17090.0,333.51799626219884
101,2021-06-09,202106,16950.0,357.0,Wednesday,16963.0,324.0524251006132
102,2021-06-10,202106,17150.0,279.0,Thursday,17159.0,316.0486804505694
103,2021-06-11,202106,17200.0,251.0,Friday,17219.0,303.4023461326716
104,2021-06-15,202106,17400.0,271.0,Tuesday,17398.0,294.8021785517664
105,2021-06-16,202106W4,17250.0,303.0,Wednesday,17242.0,289.4591657980688
106,2021-06-17,202106W4,17300.0,303.0,Thursday,17297.0,287.28351109820676
107,2021-06-18,202106W4,17250.0,250.0,Friday,17252.0,275.3346888769063
108,2021-06-21,202106W4,16950.0,127.0,Monday,16962.0,281.453639671413
109,2021-06-22,202106W4,17050.0,238.0,Tuesday,17028.0,276.92123683774065
110,2021-06-23,202106W5,17250.0,324.0,Wednesday,17272.0,277.92686277790204
111,2021-06-24,202106W5,17350.0,285.0,Thursday,17336.0,267.8606582937662
112,2021-06-25,202106W5,17400.0,263.0,Friday,17419.0,264.8706112727829
113,2021-06-28,202106W5,17550.0,202.0,Monday,17535.0,257.52271046758415
114,2021-06-29,202106W5,17550.0,183.0,Tuesday,17529.0,251.41394543418528
115,2021-06-30,202107W1,17700.0,280.0,Wednesday,17715.0,250.38437790317204
116,2021-07-01,202107W1,17650.0,286.0,Thursday,17646.0,248.14263662437403
117,2021-07-02,202107W1,17650.0,244.0,Friday,17653.0,240.1324482940616
118,2021-07-05,202107W1,17900.0,150.0,Monday,17898.0,242.05155913020005
119,2021-07-06,202107W1,17900.0,173.0,Tuesday,17878.0,233.04787633518575
120,2021-07-07,202107W2,17850.0,283.0,Wednesday,17830.0,230.0444565969582
121,2021-07-08,202107W2,17850.0,272.0,Thursday,17825.0,228.1127096971755
122,2021-07-09,202107W2,17650.0,204.0,Friday,17658.0,233.17608757594869
123,2021-07-12,202107W2,17800.0,159.0,Monday,17824.0,238.09208132052376
124,2021-07-13,202107W2,17850.0,105.5,Tuesday,17869.0,235.79978979762922
125,2021-07-14,202107,17850.0,306.0,Wednesday,17874.0,231.5283762406557
126,2021-07-15,202107,18000.0,245.0,Thursday,18022.0,227.70492079489458
127,2021-07-16,202107,17900.0,282.0,Friday,17925.0,229.2974264524021
128,2021-07-19,202107,17800.0,214.0,Monday,17794.0,232.77618170580195
129,2021-07-20,202107,17550.0,160.0,Tuesday,17558.0,238.72074015538752
130,2021-07-21,202107W4,17300.0,384.0,Wednesday,17279.0,248.31211585857412
131,2021-07-22,202107W4,17400.0,166.0,Thursday,17407.0,248.14696472581883
132,2021-07-23,202107W4,17400.0,133.0,Friday,17407.0,243.20789581683178
133,2021-07-26,202107W4,17200.0,624.0,Monday,17202.0,245.9787604013438
134,2021-07-27,202107W4,17150.0,52.0,Tuesday,17173.0,242.3374203726764
135,2021-07-28,202108W1,16950.0,422.0,Wednesday,16965.0,256.4561760603424
136,2021-07-29,202108W1,17350.0,263.0,Thursday,17331.0,264.35216348460364
137,2021-07-30,202108W1,17150.0,137.0,Friday,17173.0,260.11272323570336
138,2021-08-02,202108W1,17450.0,290.0,Monday,17470.0,263.67610014743883
139,2021-08-03,202108W1,17500.0,144.0,Tuesday,17484.0,254.48495013690749
140,2021-08-04,202108W2,17550.0,282.0,Wednesday,17571.0,245.02173941284266
141,2021-08-05,202108W2,17550.0,280.0,Thursday,17542.0,232.0916151690682
142,2021-08-06,202108W2,17450.0,162.0,Friday,17437.0,230.2993569427062
143,2021-08-09,202108W2,17400.0,135.0,Monday,17404.0,229.06368858965575
144,2021-08-10,202108W2,17300.0,110.0,Tuesday,17299.0,225.84485369039461
145,2021-08-11,202108,17150.0,315.0,Wednesday,17171.0,225.4987927125093
146,2021-08-12,202108,17150.0,308.0,Thursday,17157.0,217.24887894733007
147,2021-08-13,202108,16950.0,176.0,Friday,16934.0,220.01681616537795
148,2021-08-16,202108,16750.0,178.0,Monday,16772.0,217.58704358213666
149,2021-08-17,202108,16600.0,125.0,Tuesday,16580.0,223.33082618341263
150,2021-08-18,202108W4,16700.0,317.0,Wednesday,16702.0,237.37862431316884
151,2021-08-19,202108W4,16350.0,643.0,Thursday,16329.0,252.2801511479425
152,2021-08-20,202108W4,16200.0,382.0,Friday,16193.0,254.33156892308946
153,2021-08-23,202108W4,16700.0,160.0,Monday,16684.0,274.45074257144023
154,2021-08-24,202108W4,16800.0,181.0,Tuesday,16784.0,266.1328323877659
155,2021-08-25,202109W1,16950.0,322.0,Wednesday,16963.0,261.2662015029255
156,2021-08-26,202109W1,17000.0,389.0,Thursday,16995.0,259.9614728241451
157,2021-08-27,202109W1,17150.0,367.0,Friday,17170.0,263.53565333670616
158,2021-08-30,202109W1,17350.0,171.0,Monday,17339.0,257.78310666979854
159,2021-08-31,202109W1,17450.0,234.0,Tuesday,17457.0,262.5128847648129
160,2021-09-01,202109W2,17500.0,285.0,Wednesday,17476.0,253.5476787101834
161,2021-09-02,202109W2,17300.0,410.0,Thursday,17320.0,252.6514159451703
162,2021-09-03,202109W2,17500.0,309.0,Friday,17509.0,251.2477433776581
163,2021-09-06,202109W2,17500.0,166.0,Monday,17496.0,245.51576170782536
164,2021-09-07,202109W2,17400.0,124.5,Tuesday,17422.0,241.69320730012353
165,2021-09-08,202109,17250.0,326.0,Wednesday,17262.0,243.21512106440042
166,2021-09-09,202109,17250.0,360.0,Thursday,17235.0,240.62832670265752
167,2021-09-10,202109,17450.0,188.0,Friday,17473.0,240.86916050961054
168,2021-09-13,202109,17450.0,226.0,Monday,17442.0,233.3785061874955
169,2021-09-14,202109,17450.0,155.0,Tuesday,17461.0,226.9228986026744
170,2021-09-15,202109W4,17300.0,258.0,Wednesday,17323.0,227.35697727391195
171,2021-09-16,202109W4,17250.0,168.0,Thursday,17248.0,223.33147889720394
172,2021-09-17,202109W4,17300.0,188.0,Friday,17298.0,223.80780183311794
173,2021-09-22,202109W5,16900.0,368.0,Wednesday,16900.0,246.89295884503807
174,2021-09-23,202109W5,17100.0,339.0,Thursday,17080.0,245.68631892753532
175,2021-09-24,202109W5,17250.0,212.0,Friday,17250.0,242.06586757556852
176,2021-09-27,202109W5,17300.0,140.0,Monday,17292.0,233.48973417731364
177,2021-09-28,202109W5,17150.0,82.0,Tuesday,17170.0,234.6690388789341
178,2021-09-29,202110W1,16800.0,365.0,Wednesday,16823.0,247.1926789590102
179,2021-09-30,202110W1,16900.0,441.0,Thursday,16917.0,248.25034474765235
180,2021-10-01,202110W1,16500.0,331.0,Friday,16517.0,266.37532012282
181,2021-10-04,202110W1,16350.0,512.0,Monday,16358.0,269.91994011404717
182,2021-10-05,202110W1,16400.0,256.0,Tuesday,16398.0,273.28280153447236
183,2021-10-06,202110W2,16350.0,365.0,Wednesday,16359.0,270.04831571058145
184,2021-10-07,202110W2,16700.0,214.0,Thursday,16706.0,279.40200744553994
185,2021-10-08,202110W2,16650.0,340.0,Friday,16627.0,271.4447211994299
186,2021-10-12,202110W2,16400.0,152.0,Tuesday,16418.0,276.4843839708992
187,2021-10-13,202110,16300.0,384.0,Wednesday,16318.0,275.80692797297786
188,2021-10-14,202110,16400.0,317.0,Thursday,16405.0,272.39214740347944
189,2021-10-15,202110,16800.0,167.0,Friday,16782.0,280.43556544608805
190,2021-10-18,202110,16750.0,175.0,Monday,16725.0,272.1901679142246
191,2021-10-19,202110,16900.0,158.5,Tuesday,16902.0,269.1051559203514
192,2021-10-20,202110W4,16900.0,282.0,Wednesday,16889.0,257.0262162117549
